"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","NLL_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","AgeKeyParm1_om","AgeKeyParm2_om","AgeKeyParm3_om","AgeKeyParm4_om","AgeKeyParm5_om","AgeKeyParm6_om","AgeKeyParm7_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1fishery_om","LnQ_base_1_fishery_om","LnQ_base_2_survey_om","SizeSel_1P_1_fishery_om","SizeSel_1P_2_fishery_om","SizeSel_2P_1_survey_om","SizeSel_2P_2_survey_om","SizeSel_2P_3_survey_om","SizeSel_2P_4_survey_om","SizeSel_2P_5_survey_om","SizeSel_2P_6_survey_om","Catch_endyear_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","NLL_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","AgeKeyParm1_em","AgeKeyParm2_em","AgeKeyParm3_em","AgeKeyParm4_em","AgeKeyParm5_em","AgeKeyParm6_em","AgeKeyParm7_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1fishery_em","LnQ_base_1_fishery_em","LnQ_base_2_survey_em","SizeSel_1P_1_fishery_em","SizeSel_1P_2_fishery_em","SizeSel_2P_1_survey_em","SizeSel_2P_2_survey_em","SizeSel_2P_3_survey_em","SizeSel_2P_4_survey_em","SizeSel_2P_5_survey_em","SizeSel_2P_6_survey_em","Catch_endyear_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","species","max_grad","version","RunTime","hessian"
"11",8425.52,0,8425.52,0.173408881588317,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,530.965,8494.2,0,8494.2,0.181470886016341,507.971,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.437,0.8,0.8,0,0,0,0.0152271,0,0,45.0813,11.3537,29.5731,-16.8688,2.79681,3.66725,-17.5916,-4.80117,530.966,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",11,"D100","E0","F0","sna",1.07551e-05,"#V3.24O",0.15,FALSE
"12",8425.52,0,8425.52,0.173348351199689,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,530.377,8480.15,0,8480.15,0.169072481029227,558.379,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43534,0.8,0.8,0,0,0,0.0151076,0,0,44.7113,11.0991,29.8193,-16.9661,2.8375,3.58532,-17.3429,-4.37693,530.378,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",12,"D100","E0","F0","sna",3.51023e-05,"#V3.24O",0.133333333333333,FALSE
"13",8425.52,0,8425.52,0.171679611466117,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,525.799,8455.39,0,8455.39,0.168635627688374,532.431,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43242,0.8,0.8,0,0,0,0.0152264,0,0,44.8915,11.1882,29.4923,-4.92292,2.74096,3.46271,-18.1183,-4.42991,525.8,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",13,"D100","E0","F0","sna",1.69082e-05,"#V3.24O",0.15,FALSE
"14",8425.52,0,8425.52,0.171649939706985,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,525.303,8448.84,0,8448.84,0.167852628289801,574.528,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43164,0.8,0.8,0,0,0,0.0149856,0,0,44.2708,10.514,29.5052,-16.3097,2.81134,3.70929,-17.9127,-5.23748,525.304,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",14,"D100","E0","F0","sna",3.04221e-05,"#V3.24O",0.15,FALSE
"15",8425.52,0,8425.52,0.173439740217814,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,530.859,8522.12,0,8522.12,0.156668763171605,555.151,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.44028,0.8,0.8,0,0,0,0.0148118,0,0,44.1105,11.0081,29.5389,-16.6702,2.75079,3.70031,-17.9738,-4.73359,530.86,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",15,"D100","E0","F0","sna",0.00113067,"#V3.24O",0.166666666666667,FALSE
"16",8425.52,0,8425.52,0.173580977791282,-115.626,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,531.17,8481.28,0,8481.28,0.177441376773317,511.939,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43548,0.8,0.8,0,0,0,0.0152976,0,0,45.206,11.3226,29.7611,-16.7194,2.81539,3.65669,-18.0994,-5.21355,531.171,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",16,"D100","E0","F0","sna",5.80439e-06,"#V3.24O",0.15,FALSE
"17",8425.52,0,8425.52,0.172606557221394,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,528.215,8527.81,0,8527.81,0.165634553302665,510.144,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.44095,0.8,0.8,0,0,0,0.0149062,0,0,44.4881,10.4875,29.6892,-5.51502,2.75558,3.53014,-18.172,-4.6237,528.216,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",17,"D100","E0","F0","sna",0.000119183,"#V3.24O",0.166666666666667,FALSE
"18",8425.52,0,8425.52,0.172555521795687,-115.628,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,528.133,8428.33,0,8428.33,0.168351262942955,574.537,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42921,0.8,0.8,0,0,0,0.0152096,0,0,44.7065,11.1143,29.6065,-16.3074,2.76885,3.67796,-15.0086,-4.48105,528.134,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",18,"D100","E0","F0","sna",0.000559594,"#V3.24O",0.15,FALSE
"19",8425.52,0,8425.52,0.172849865646275,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,529.32,8477.52,0,8477.52,0.168439590823731,557.726,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.43503,0.8,0.8,0,0,0,0.0152801,0,0,45.0863,11.7069,30.1878,-6.54234,3.00981,3.51713,-18.2066,-4.71017,529.321,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",19,"D100","E0","F0","sna",3.05398e-05,"#V3.24O",0.133333333333333,FALSE
"20",8425.52,0,8425.52,0.174040296622642,-115.627,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.42888,0.8,0.8,0,0,0,0.015141,0,0,44.5104,11.0351,29.7528,-17.5462,2.82283,3.62088,-17.7889,-4.56702,533.161,8523.33,0,8523.33,0.172111134967202,557.033,0,0.2,8,83,0.1,0.1,0,4.5e-05,2.795,36.3,-0.25,1,0,0,0,0,1,1,0.25,1.25,1,2,4,1,7.44042,0.8,0.8,0,0,0,0.0150775,0,0,44.7727,11.7529,29.86,-16.7768,2.85922,3.59478,-17.9377,-4.75019,533.162,NA,NA,NA,NA,NA,NA,NA,"D100-E0-F0-sna",20,"D100","E0","F0","sna",1.82015e-05,"#V3.24O",0.133333333333333,FALSE
